Collection ID,Collection Name,Collection URL,Artist Name,Artist URL,Date Added
Q29sbGVjdGlvblR5cGU6MjkzNQ==,Autoglyphs,https://opensea.io/collection/autoglyphs,,,2021-09-16 17:28:39.836724
Q29sbGVjdGlvblR5cGU6MTU3OTQ0Ng==,Dapper Dinos NFT,https://opensea.io/collection/dapperdinosnft,,https://opensea.io/__OS__PristineBenignTuatara,2021-09-16 17:28:39.836724
Q29sbGVjdGlvblR5cGU6MTU2OTI1MQ==,PEACEFUL GROUPIES,https://opensea.io/collection/peaceful-groupies,PEACEVOID_DEPLOYER,https://opensea.io/PEACEVOID_DEPLOYER,2021-09-16 17:28:39.836724
Q29sbGVjdGlvblR5cGU6MTI5MzU=,BCCG,https://opensea.io/collection/bccg,Bondly,https://opensea.io/Bondly,2021-09-16 17:28:39.836724
Q29sbGVjdGlvblR5cGU6MTQwNTA1Mg==,Axolittles,https://opensea.io/collection/axolittles,,https://opensea.io/__OS__OptimalClassicLabrador,2021-09-16 17:28:39.836724
Q29sbGVjdGlvblR5cGU6Nzg5NTI5,ACK Unique Editions / 1 of 1's,https://opensea.io/collection/alpha-centauri-kid,AlphaCentauriKid,https://opensea.io/AlphaCentauriKid,2021-09-16 17:28:39.836724
Q29sbGVjdGlvblR5cGU6MTU1OTE=,sgt_slaughtermelon,https://opensea.io/collection/sgt-slaughtermelon,sgt_slaughtermelon,https://opensea.io/sgt_slaughtermelon,2021-09-16 17:28:39.836724
Q29sbGVjdGlvblR5cGU6MTA0OTgwNQ==,weape24,https://opensea.io/collection/weape24,24px,https://opensea.io/24px,2021-09-16 17:28:39.836724
Q29sbGVjdGlvblR5cGU6NDY4NDAw,Inertial Moment,https://opensea.io/collection/inertial-moment,deckard,https://opensea.io/deckard,2021-09-16 17:28:39.836724
Q29sbGVjdGlvblR5cGU6NjE1ODg5,Pulsquares,https://opensea.io/collection/pulsquares,,,2021-09-16 17:28:39.836724
Q29sbGVjdGlvblR5cGU6MTAwNzQwOQ==,Chiptos,https://opensea.io/collection/chiptos,gaperartvault,https://opensea.io/gaperartvault,2021-09-16 17:28:39.836724
Q29sbGVjdGlvblR5cGU6NzI5NjY0,DystoPunks V2,https://opensea.io/collection/dystopunks-v2,Dekadente,https://opensea.io/Dekadente,2021-09-16 17:28:39.836724
